Unit.ID,Lot,Case.No,Case.L,Neck.Idia,Neck.Odia,Neck.Thick,Neck.Err,HS,PPDpth,PPDia,Case.Wgt,CMS,Media.Wgt,Volume.Correction,Corr.Media.Wgt,Case.Vol,Pr.Wgt,Bullet.OL,Bullet.Wgt,Reload.Ord,DOL,PC,OLC,ALC,ADOL,DOL.Err,OCWgt,SumWgt,WgtErr,Box.Ord,Target.No,Time,Temp,Velocity,Clean.No,Group.No,Day,,Vertical,Horizontal,DFB,include
1.1,lot1,1,1.7470,0.2205,0.2415,0.0115,-0.0020,-10.5000,0.1190,0.1715,93.7000,0.0000,90.3000,1.0019,90.4753,45.2377,3.3000,0.8100,55.0000,34.0000,0.0300,25.3000,1.9230,1.9220,0.0310,10.0000,177.4000,177.3000,-0.1000,237.0000,237.0000,12:18,55.0000,,13.0000,6.0000,2.0000,,-9.0000,9.0000,12.7279,1
1.2,lot1,2,1.7456,0.2205,0.2415,0.0115,-0.0020,-10.0000,0.1190,0.1710,92.0000,0.0000,90.1000,1.0019,90.2749,45.1375,3.3000,0.8120,55.0000,123.0000,0.0050,25.6000,1.9480,1.9480,0.0050,0.0000,176.0000,175.9000,-0.1000,94.0000,94.0000,13:05,73.6000,3355.0000,20.0000,3.0000,1.0000,,4.5000,-28.5000,28.8531,1
1.3,lot1,3,1.7461,0.2200,0.2415,0.0115,-0.0015,-10.0000,0.1190,0.1710,93.1000,0.0000,90.4000,1.0019,90.5755,45.2877,3.3000,0.8110,55.0000,42.0000,0.0050,25.4000,1.9480,1.9475,0.0055,5.0000,176.8000,176.8000,0.0000,368.0000,368.0000,15:53,54.7000,,48.0000,8.0000,2.0000,,-26.0000,35.0000,43.6005,1
1.4,lot1,4,1.7457,0.2205,0.2415,0.0115,-0.0020,-11.0000,0.1190,0.1715,92.4000,0.0000,90.9000,1.0019,91.0765,45.5382,3.3000,0.8110,55.2000,190.0000,0.0250,25.7000,1.9280,1.9280,0.0250,0.0000,176.7000,176.6000,-0.1000,343.0000,341.0000,15:25,56.3000,,21.0000,8.0000,2.0000,targets out of sequence - 343 (lot4:97) shot into 341,-14.5000,20.0000,24.7032,1
1.5,lot1,5,1.7455,0.2205,0.2415,0.0115,-0.0020,-11.0000,0.1180,0.1715,93.1000,0.0000,90.8000,1.0019,90.9763,45.4881,3.2000,0.8110,55.0000,256.0000,0.0150,25.9000,1.9380,1.9380,0.0150,0.0000,176.7000,177.2000,0.5000,59.0000,59.0000,12:06,73.4000,3362.0000,27.0000,2.0000,1.0000,,-42.5000,-26.0000,49.8222,1
1.6,lot1,6,1.7421,0.2200,0.2410,0.0115,-0.0020,-11.0000,0.1185,0.1705,92.9000,0.0000,90.9000,1.0019,91.0765,45.5382,3.3000,0.8100,54.9000,350.0000,0.0250,26.1000,1.9280,1.9280,0.0250,0.0000,177.2000,177.2000,0.0000,255.0000,255.0000,12:34,57.2000,3481.0000,31.0000,6.0000,2.0000,,-13.0000,3.0000,13.3417,1
1.7,lot1,7,1.7446,0.2200,0.2415,0.0115,-0.0015,-11.0000,0.1195,0.1705,92.6000,0.0000,91.0000,1.0019,91.1767,45.5883,3.3000,0.8110,55.0000,330.0000,0.0100,26.1000,1.9430,1.9430,0.0100,0.0000,177.0000,177.0000,0.0000,158.0000,158.0000,15:06,70.9000,3345.0000,30.0000,5.0000,1.0000,,2.0000,-14.5000,14.6373,1
1.8,lot1,8,1.7469,0.2205,0.2415,0.0115,-0.0020,-11.0000,0.1180,0.1715,93.0000,0.0000,90.8000,1.0019,90.9763,45.4881,3.3000,0.8110,55.0000,98.0000,0.0150,25.5000,1.9380,1.9380,0.0150,0.0000,176.8000,176.8000,0.0000,195.0000,195.0000,15:58,67.1000,3237.0000,67.0000,5.0000,1.0000,,4.0000,-18.5000,18.9275,1
1.9,lot1,9,1.7461,0.2205,0.2415,0.0115,-0.0020,-10.0000,0.1180,0.1710,93.0000,0.0000,90.8000,1.0019,90.9763,45.4881,3.3000,0.8120,55.0000,172.0000,0.0100,25.7000,1.9430,1.9425,0.0105,5.0000,177.0000,177.0000,0.0000,227.0000,227.0000,12:02,54.5000,3386.0000,3.0000,6.0000,2.0000,,-7.5000,15.0000,16.7705,1
1.10,lot1,10,1.7463,0.2205,0.2415,0.0115,-0.0020,-10.0000,0.1185,0.1705,92.9000,0.0000,90.9000,1.0019,91.0765,45.5382,3.3000,0.8120,55.1000,396.0000,0.0300,26.2000,1.9230,1.9230,0.0300,0.0000,177.6000,177.5000,-0.1000,374.0000,374.0000,15:59,54.1000,,54.0000,8.0000,2.0000,,-17.5000,43.5000,46.8882,1
